2019-05-14 08:52:53,245 DEBUG [SpringJUnit4ClassRunner]  - SpringJUnit4ClassRunner constructor called with [class pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,251 DEBUG [BootstrapUtils]  - Instantiating CacheAwareContextLoaderDelegate from class [org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate]
2019-05-14 08:52:53,260 DEBUG [BootstrapUtils]  - Instantiating BootstrapContext using constructor [public org.springframework.test.context.support.DefaultBootstrapContext(java.lang.Class,org.springframework.test.context.CacheAwareContextLoaderDelegate)]
2019-05-14 08:52:53,280 DEBUG [BootstrapUtils]  - Instantiating TestContextBootstrapper for test class [pl.tau.boardgame.service.FigureManagerTest] from class [org.springframework.test.context.support.DefaultTestContextBootstrapper]
2019-05-14 08:52:53,315 DEBUG [AbstractDelegatingSmartContextLoader]  - Delegating to GenericXmlContextLoader to process context configuration [ContextConfigurationAttributes@4cc0edeb declaringClass = 'pl.tau.boardgame.service.FigureManagerTest', classes = '{}', locations = '{classpath:/beans.xml}', inheritLocations = true, initializers = '{}', inheritInitializers = true, name = [null], contextLoaderClass = 'org.springframework.test.context.ContextLoader'].
2019-05-14 08:52:53,333 DEBUG [ActiveProfilesUtils]  - Could not find an 'annotation declaring class' for annotation type [org.springframework.test.context.ActiveProfiles] and class [pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,334 DEBUG [DefaultTestContextBootstrapper]  - @TestExecutionListeners is not present for class [pl.tau.boardgame.service.FigureManagerTest]: using defaults.
2019-05-14 08:52:53,334 INFO  [DefaultTestContextBootstrapper]  - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-05-14 08:52:53,338 DEBUG [DefaultTestContextBootstrapper]  - Skipping candidate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener] due to a missing dependency. Specify custom listener classes or make the default listener classes and their required dependencies available. Offending class: [javax/servlet/ServletContext]
2019-05-14 08:52:53,349 INFO  [DefaultTestContextBootstrapper]  - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@64bfbc86, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@64bf3bbf, org.springframework.test.context.support.DirtiesContextTestExecutionListener@55d56113, org.springframework.test.context.transaction.TransactionalTestExecutionListener@148080bb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@dc24521]
2019-05-14 08:52:53,350 DEBUG [ProfileValueUtils]  - Retrieved @ProfileValueSourceConfiguration [null] for test class [pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,351 DEBUG [ProfileValueUtils]  - Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,363 DEBUG [ProfileValueUtils]  - Retrieved @ProfileValueSourceConfiguration [null] for test class [pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,363 DEBUG [ProfileValueUtils]  - Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,365 DEBUG [ProfileValueUtils]  - Retrieved @ProfileValueSourceConfiguration [null] for test class [pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,365 DEBUG [ProfileValueUtils]  - Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,366 DEBUG [ProfileValueUtils]  - Retrieved @ProfileValueSourceConfiguration [null] for test class [pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,366 DEBUG [ProfileValueUtils]  - Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,368 DEBUG [AbstractDirtiesContextTestExecutionListener]  - Before test class: context [DefaultTestContext@57536d79 testClass = FigureManagerTest, testInstance = [null], testMethod = [null], testException = [null], mergedContextConfiguration = [MergedContextConfiguration@3b0143d3 testClass = FigureManagerTest, locations = '{classpath:/beans.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]], attributes = map[[empty]]], class annotated with @DirtiesContext [false] with mode [null].
2019-05-14 08:52:53,368 DEBUG [ProfileValueUtils]  - Retrieved @ProfileValueSourceConfiguration [null] for test class [pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,368 DEBUG [ProfileValueUtils]  - Retrieved ProfileValueSource type [class org.springframework.test.annotation.SystemProfileValueSource] for class [pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:53,370 DEBUG [DependencyInjectionTestExecutionListener]  - Performing dependency injection for test context [[DefaultTestContext@57536d79 testClass = FigureManagerTest, testInstance = pl.tau.boardgame.service.FigureManagerTest@6325a3ee, testMethod = [null], testException = [null], mergedContextConfiguration = [MergedContextConfiguration@3b0143d3 testClass = FigureManagerTest, locations = '{classpath:/beans.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]], attributes = map[[empty]]]].
2019-05-14 08:52:53,371 DEBUG [AbstractDelegatingSmartContextLoader]  - Delegating to GenericXmlContextLoader to load context from [MergedContextConfiguration@3b0143d3 testClass = FigureManagerTest, locations = '{classpath:/beans.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]].
2019-05-14 08:52:53,371 DEBUG [AbstractGenericContextLoader]  - Loading ApplicationContext for merged context configuration [[MergedContextConfiguration@3b0143d3 testClass = FigureManagerTest, locations = '{classpath:/beans.xml}', classes = '{}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{}', contextCustomizers = set[[empty]], contextLoader = 'org.springframework.test.context.support.DelegatingSmartContextLoader', parent = [null]]].
2019-05-14 08:52:53,412 DEBUG [StandardEnvironment]  - Activating profiles []
2019-05-14 08:52:53,596 DEBUG [ClassPathBeanDefinitionScanner]  - Identified candidate component class: file [D:\TAU\TAU-\lab09I10BoardGame\labsix\target\classes\pl\tau\boardgame\service\FigureManagerImpl.class]
2019-05-14 08:52:53,621 DEBUG [XmlBeanDefinitionReader]  - Loaded 16 bean definitions from class path resource [beans.xml]
2019-05-14 08:52:53,621 DEBUG [GenericApplicationContext]  - Refreshing org.springframework.context.support.GenericApplicationContext@4f063c0a
2019-05-14 08:52:53,645 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2019-05-14 08:52:53,697 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0'
2019-05-14 08:52:53,730 DEBUG [PropertySourcesPropertyResolver]  - Found key 'jdbc.driverClassName' in PropertySource 'localProperties' with value of type String
2019-05-14 08:52:53,730 DEBUG [PropertySourcesPropertyResolver]  - Found key 'jdbc.url' in PropertySource 'localProperties' with value of type String
2019-05-14 08:52:53,730 DEBUG [PropertySourcesPropertyResolver]  - Found key 'jdbc.username' in PropertySource 'localProperties' with value of type String
2019-05-14 08:52:53,730 DEBUG [PropertySourcesPropertyResolver]  - Found key 'jdbc.password' in PropertySource 'localProperties' with value of type String
2019-05-14 08:52:53,731 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2019-05-14 08:52:53,732 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2019-05-14 08:52:53,733 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2019-05-14 08:52:53,736 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2019-05-14 08:52:53,736 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2019-05-14 08:52:53,741 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
2019-05-14 08:52:53,741 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2019-05-14 08:52:53,789 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'figureManagerImpl'
2019-05-14 08:52:53,820 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'hibernateSessionFactory'
2019-05-14 08:52:53,822 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'dataSource'
2019-05-14 08:52:53,833 DEBUG [DriverManagerDataSource]  - Loaded JDBC driver: org.hsqldb.jdbcDriver
2019-05-14 08:52:53,833 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
2019-05-14 08:52:53,835 DEBUG [DefaultListableBeanFactory]  - Creating shared instance of singleton bean 'org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0'
2019-05-14 08:52:53,893 DEBUG [logging]  - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2019-05-14 08:52:53,903 DEBUG [IntegratorServiceImpl]  - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2019-05-14 08:52:53,905 DEBUG [IntegratorServiceImpl]  - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2019-05-14 08:52:53,907 DEBUG [IntegratorServiceImpl]  - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2019-05-14 08:52:53,992 INFO  [Version]  - HHH000412: Hibernate Core {5.1.6.Final}
2019-05-14 08:52:53,993 INFO  [Environment]  - HHH000206: hibernate.properties not found
2019-05-14 08:52:53,995 INFO  [Environment]  - HHH000021: Bytecode provider name : javassist
2019-05-14 08:52:54,010 DEBUG [Configuration]  - Building session factory using internal StandardServiceRegistryBuilder
2019-05-14 08:52:54,016 DEBUG [ServiceBinding]  - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2019-05-14 08:52:54,016 DEBUG [Configuration]  - Building session factory using provided StandardServiceRegistry
2019-05-14 08:52:54,033 DEBUG [RegionFactoryInitiator]  - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2019-05-14 08:52:54,040 INFO  [Version]  - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2019-05-14 08:52:54,059 DEBUG [BasicTypeRegistry]  - Adding type registration boolean -> org.hibernate.type.BooleanType@4d15107f
2019-05-14 08:52:54,059 DEBUG [BasicTypeRegistry]  - Adding type registration boolean -> org.hibernate.type.BooleanType@4d15107f
2019-05-14 08:52:54,059 DEBUG [BasicTypeRegistry]  - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4d15107f
2019-05-14 08:52:54,060 DEBUG [BasicTypeRegistry]  - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@79207381
2019-05-14 08:52:54,061 DEBUG [BasicTypeRegistry]  - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4b520ea8
2019-05-14 08:52:54,062 DEBUG [BasicTypeRegistry]  - Adding type registration yes_no -> org.hibernate.type.YesNoType@624ea235
2019-05-14 08:52:54,064 DEBUG [BasicTypeRegistry]  - Adding type registration byte -> org.hibernate.type.ByteType@6f43c82
2019-05-14 08:52:54,064 DEBUG [BasicTypeRegistry]  - Adding type registration byte -> org.hibernate.type.ByteType@6f43c82
2019-05-14 08:52:54,064 DEBUG [BasicTypeRegistry]  - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6f43c82
2019-05-14 08:52:54,065 DEBUG [BasicTypeRegistry]  - Adding type registration character -> org.hibernate.type.CharacterType@6f15d60e
2019-05-14 08:52:54,065 DEBUG [BasicTypeRegistry]  - Adding type registration char -> org.hibernate.type.CharacterType@6f15d60e
2019-05-14 08:52:54,065 DEBUG [BasicTypeRegistry]  - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6f15d60e
2019-05-14 08:52:54,066 DEBUG [BasicTypeRegistry]  - Adding type registration short -> org.hibernate.type.ShortType@5340477f
2019-05-14 08:52:54,066 DEBUG [BasicTypeRegistry]  - Adding type registration short -> org.hibernate.type.ShortType@5340477f
2019-05-14 08:52:54,066 DEBUG [BasicTypeRegistry]  - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5340477f
2019-05-14 08:52:54,067 DEBUG [BasicTypeRegistry]  - Adding type registration integer -> org.hibernate.type.IntegerType@28cda624
2019-05-14 08:52:54,067 DEBUG [BasicTypeRegistry]  - Adding type registration int -> org.hibernate.type.IntegerType@28cda624
2019-05-14 08:52:54,067 DEBUG [BasicTypeRegistry]  - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@28cda624
2019-05-14 08:52:54,068 DEBUG [BasicTypeRegistry]  - Adding type registration long -> org.hibernate.type.LongType@5c7bfdc1
2019-05-14 08:52:54,068 DEBUG [BasicTypeRegistry]  - Adding type registration long -> org.hibernate.type.LongType@5c7bfdc1
2019-05-14 08:52:54,069 DEBUG [BasicTypeRegistry]  - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5c7bfdc1
2019-05-14 08:52:54,070 DEBUG [BasicTypeRegistry]  - Adding type registration float -> org.hibernate.type.FloatType@2584b82d
2019-05-14 08:52:54,070 DEBUG [BasicTypeRegistry]  - Adding type registration float -> org.hibernate.type.FloatType@2584b82d
2019-05-14 08:52:54,070 DEBUG [BasicTypeRegistry]  - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2584b82d
2019-05-14 08:52:54,072 DEBUG [BasicTypeRegistry]  - Adding type registration double -> org.hibernate.type.DoubleType@1f9e9475
2019-05-14 08:52:54,072 DEBUG [BasicTypeRegistry]  - Adding type registration double -> org.hibernate.type.DoubleType@1f9e9475
2019-05-14 08:52:54,073 DEBUG [BasicTypeRegistry]  - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@1f9e9475
2019-05-14 08:52:54,074 DEBUG [BasicTypeRegistry]  - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@2254127a
2019-05-14 08:52:54,074 DEBUG [BasicTypeRegistry]  - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@2254127a
2019-05-14 08:52:54,075 DEBUG [BasicTypeRegistry]  - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@14bdbc74
2019-05-14 08:52:54,075 DEBUG [BasicTypeRegistry]  - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@14bdbc74
2019-05-14 08:52:54,076 DEBUG [BasicTypeRegistry]  - Adding type registration string -> org.hibernate.type.StringType@1b66c0fb
2019-05-14 08:52:54,076 DEBUG [BasicTypeRegistry]  - Adding type registration java.lang.String -> org.hibernate.type.StringType@1b66c0fb
